genres,movie_title,movie_id,movie_imdb_link,imdb_score
Action|Thriller,Dhaakad,tt10598156,https://www.imdb.com/title/tt10598156/?ref_=fn_tt_tt_1,3.9
Action|Crime|Drama,Sarkar,tt0432047,https://www.imdb.com/title/tt0432047/?ref_=fn_tt_tt_1,7.6
Action|Biography|Drama,Major,tt9851854,https://www.imdb.com/title/tt9851854/?ref_=fn_tt_tt_1,8.1
Comedy|Drama,Doctor G,tt9054970,https://www.imdb.com/title/tt9054970/?ref_=fn_tt_tt_1,6.6
Biography|Drama|History,Viceroy's House,tt4977530,https://www.imdb.com/title/tt4977530/?ref_=fn_tt_tt_1,6.7
Biography|Drama|Sport,M.S. Dhoni: The Untold Story,tt4169250,https://www.imdb.com/title/tt4169250/?ref_=fn_tt_tt_1,8
Action|Crime|Drama,Singham,tt1948150,https://www.imdb.com/title/tt1948150/?ref_=fn_tt_tt_1,6.8
Biography|Drama|Sport,Bhaag Milkha Bhaag,tt2356180,https://www.imdb.com/title/tt2356180/?ref_=fn_tt_tt_1,8.2
Drama|Thriller,All Ladies Do It,tt13438922,https://www.imdb.com/title/tt13438922/?ref_=fn_tt_tt_1,6
Action|Crime|Drama,Bhavesh Joshi Superhero,tt6129302,https://www.imdb.com/title/tt6129302/?ref_=fn_tt_tt_1,7.6
Comedy|Drama|Romance,Desi Boyz,tt1985981,https://www.imdb.com/title/tt1985981/?ref_=fn_tt_tt_1,5.7
Action|Comedy|Drama,Pataakha,tt8396128,https://www.imdb.com/title/tt8396128/?ref_=fn_tt_tt_1,7.2
Comedy|Drama|Mystery,7 Khoon Maaf,tt1629376,https://www.imdb.com/title/tt1629376/?ref_=fn_tt_tt_1,6.3
Comedy|Drama,Angrezi Medium,tt8907986,https://www.imdb.com/title/tt8907986/?ref_=fn_tt_tt_1,7.2
Drama|Family,Janaki Jaane,tt26008876,https://www.imdb.com/title/tt26008876/?ref_=fn_tt_tt_1,6
Biography|Drama,Shahid,tt2181831,https://www.imdb.com/title/tt2181831/?ref_=fn_tt_tt_1,8.2
Crime|Drama|Thriller,B.A. Pass,tt2408040,https://www.imdb.com/title/tt2408040/?ref_=fn_tt_tt_1,6.4
Action|Crime|Thriller,Radhe,tt10888594,https://www.imdb.com/title/tt10888594/?ref_=fn_tt_tt_1,1.9
Action|Drama|Romance,Liger,tt4435072,https://www.imdb.com/title/tt4435072/?ref_=fn_tt_tt_1,2.6
