genres,movie_title,movie_id,movie_imdb_link
Biography|Drama|Sport,Saina,tt9176086,https://www.imdb.com/title/tt9176086/?ref_=fn_tt_tt_1
Comedy|Drama,Virgin Bhanupriya,tt11964084,https://www.imdb.com/title/tt11964084/?ref_=fn_tt_tt_1
Crime|Drama|Mystery,Halahal,tt9875128,https://www.imdb.com/title/tt9875128/?ref_=fn_tt_tt_1
Romance,Maid for each other,tt19888200,https://www.imdb.com/title/tt19888200/?ref_=fn_tt_tt_1
Action|Drama,Stalin,tt0366180,https://www.imdb.com/title/tt0366180/?ref_=fn_tt_tt_1
Action|Crime|Drama,Dus,tt0415768,https://www.imdb.com/title/tt0415768/?ref_=fn_tt_tt_1
Drama,Om Dar-B-Dar,tt0246825,https://www.imdb.com/title/tt0246825/?ref_=fn_tt_tt_1
Drama|Romance,Mann,tt0206921,https://www.imdb.com/title/tt0206921/?ref_=fn_tt_tt_1
Drama,3rd October,tt22461144,https://www.imdb.com/title/tt22461144/?ref_=fn_tt_tt_1
Drama|Family|Romance,Baabul,tt0419468,https://www.imdb.com/title/tt0419468/?ref_=fn_tt_tt_1
Action|Drama|Musical,Roti Kapada Aur Makaan,tt0072100,https://www.imdb.com/title/tt0072100/?ref_=fn_tt_tt_1
Horror|Mystery,Dobaara: See Your Evil,tt4552486,https://www.imdb.com/title/tt4552486/?ref_=fn_tt_tt_1
Drama|Romance|Thriller,Hawas,tt0408837,https://www.imdb.com/title/tt0408837/?ref_=fn_tt_tt_1
Action|Crime,Fateh,tt27679608,https://www.imdb.com/title/tt27679608/?ref_=fn_tt_tt_1
Action,Zakhmi Sipahi,tt0314938,https://www.imdb.com/title/tt0314938/?ref_=fn_tt_tt_1
Comedy|Romance,Happy Ending,tt3017412,https://www.imdb.com/title/tt3017412/?ref_=fn_tt_tt_1
Action|Drama|Thriller,Japan,tt23474462,https://www.imdb.com/title/tt23474462/?ref_=fn_tt_tt_1
Action|Comedy|Crime,Gunda,tt0497915,https://www.imdb.com/title/tt0497915/?ref_=fn_tt_tt_1
Crime|Drama,Nishant,tt0073458,https://www.imdb.com/title/tt0073458/?ref_=fn_tt_tt_1
Drama|Horror,The Past,tt8011712,https://www.imdb.com/title/tt8011712/?ref_=fn_tt_tt_1
Action|Drama,Army,tt0115568,https://www.imdb.com/title/tt0115568/?ref_=fn_tt_tt_1
Drama,Dvand: The Internal Conflict,tt29001753,https://www.imdb.com/title/tt29001753/?ref_=fn_tt_tt_1
Comedy,Dulhe Raja,tt0210659,https://www.imdb.com/title/tt0210659/?ref_=fn_tt_tt_1
Drama|Mystery|Thriller,Irada,tt6467738,https://www.imdb.com/title/tt6467738/?ref_=fn_tt_tt_1
Drama,Jaggu Ki Lalten,tt22478232,https://www.imdb.com/title/tt22478232/?ref_=fn_tt_tt_1
Drama|Musical|Romance,Blackmail,tt0154706,https://www.imdb.com/title/tt0154706/?ref_=fn_tt_tt_1
Action|Comedy|Drama,Coolie,tt0085361,https://www.imdb.com/title/tt0085361/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Dedh Ishqiya,tt2675978,https://www.imdb.com/title/tt2675978/?ref_=fn_tt_tt_1
Action|Drama,VD18,tt27757805,https://www.imdb.com/title/tt27757805/?ref_=fn_tt_tt_1
Biography|Drama,Ek Doctor Ki Maut,tt0345177,https://www.imdb.com/title/tt0345177/?ref_=fn_tt_tt_1
Action|Adventure|Comedy,Ram Gopal Varma Ki Aag,tt0473310,https://www.imdb.com/title/tt0473310/?ref_=fn_tt_tt_1
Drama|Musical,Yeh Ballet,tt10230436,https://www.imdb.com/title/tt10230436/?ref_=fn_tt_tt_1
Drama,Namak Haraam,tt0070434,https://www.imdb.com/title/tt0070434/?ref_=fn_tt_tt_1
Biography|Drama|Romance,Woh Lamhe ...,tt0833561,https://www.imdb.com/title/tt0833561/?ref_=fn_tt_tt_1
Comedy|Drama,Mandi,tt0085896,https://www.imdb.com/title/tt0085896/?ref_=fn_tt_tt_1
Action|Drama|Musical,Naya Daur,tt0050758,https://www.imdb.com/title/tt0050758/?ref_=fn_tt_tt_1
Action|Comedy|War,Welcome to Karachi,tt4023852,https://www.imdb.com/title/tt4023852/?ref_=fn_tt_tt_1
Drama,No Land's Man,tt3996192,https://www.imdb.com/title/tt3996192/?ref_=fn_tt_tt_1
Action|Drama|War,1971,tt0983990,https://www.imdb.com/title/tt0983990/?ref_=fn_tt_tt_1
Action|Crime|Drama,Saheb Biwi Aur Gangster 3,tt7695014,https://www.imdb.com/title/tt7695014/?ref_=fn_tt_tt_1
Biography|Drama,Hawaizaada,tt4338154,https://www.imdb.com/title/tt4338154/?ref_=fn_tt_tt_1
Comedy|Drama,Tumhari Sulu,tt6791730,https://www.imdb.com/title/tt6791730/?ref_=fn_tt_tt_1
Action|Drama|Romance,Prem,tt0114175,https://www.imdb.com/title/tt0114175/?ref_=fn_tt_tt_1
Fantasy|Mystery|Romance,Dangerous Ishhq,tt1971365,https://www.imdb.com/title/tt1971365/?ref_=fn_tt_tt_1
Action|Drama|Romance,Ajay,tt0267252,https://www.imdb.com/title/tt0267252/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Shuddh Desi Romance,tt2988272,https://www.imdb.com/title/tt2988272/?ref_=fn_tt_tt_1
Action|Crime|Drama,Aakhree Raasta,tt0090575,https://www.imdb.com/title/tt0090575/?ref_=fn_tt_tt_1
Comedy|Romance,Mubarakan,tt6272828,https://www.imdb.com/title/tt6272828/?ref_=fn_tt_tt_1
Action|Musical|Romance,Police Aur Mujrim,tt0251346,https://www.imdb.com/title/tt0251346/?ref_=fn_tt_tt_1
Action|Crime|Drama,Jazbaa,tt4323504,https://www.imdb.com/title/tt4323504/?ref_=fn_tt_tt_1
Musical|Drama|Romance,Lucky: No Time for Love,tt0449306,https://www.imdb.com/title/tt0449306/?ref_=fn_tt_tt_1
Action|Adventure|Drama,Ankhen,tt0147811,https://www.imdb.com/title/tt0147811/?ref_=fn_tt_tt_1
Action|Drama|Family,Mashaal,tt0085912,https://www.imdb.com/title/tt0085912/?ref_=fn_tt_tt_1
Comedy|Drama|Family,Super Nani,tt2630076,https://www.imdb.com/title/tt2630076/?ref_=fn_tt_tt_1
Comedy|Drama,Dhoondte Reh Jaoge,tt1391544,https://www.imdb.com/title/tt1391544/?ref_=fn_tt_tt_1
Action|Adventure|Thriller,Tahalka,tt0423313,https://www.imdb.com/title/tt0423313/?ref_=fn_tt_tt_1
Comedy|Romance,Googly,tt3075360,https://www.imdb.com/title/tt3075360/?ref_=fn_tt_tt_1
